Date,Product,Region,Sales,Quantity,Profit
14.02.2023,Laptop Pro,West,2531.24,3,608.82
2023-03-20,Laptop Pro,West,4100.57,5,846.02
2024-04-16,Desk Lamp,West,356.1,10,106.1
11/10/2024,Wireless Mouse,SOUTH,1377.07,92,
10.05.2024,Monitor 27,West,2880.81,13,529.53
2023-10-25,Wireless Mouse,South,1462.31,89,128.94
03.10.2023,Wireless Mouse,West,2316.41,152,193.44
2024-08-19,Office Chair,West,151.02,1,43.73
02.04.2024,Wireless Mouse,South,5998.21,40,45.61
07/29/2023,Laptop Pro,South,,4,792.98
2024-03-10,Office Chair,South,303.07,2,59.55
10/09/2024,Monitor 27,South,,5,
2023-12-31,Wireless Mouse,South,1369.24,89,117.95
04/08/2023,Webcam HD,East,,2,18.17
2024-07-09,Desk Lamp,East,767.62,21,279.87
2023-07-01,Wireless Mouse,North,281.84,18,19.55
2023-11-17,Desk Lamp,West,199.1,6,60.91
10/17/2024,Monitor 27,SOUTH,230.38,1,43.39
12/29/2023,Wireless Mouse,West,1120.24,78,76.85
2023-09-05,Laptop Pro,south,2564.52,3,465.7
03/26/2023,Wireless Mouse,West,1572.34,104,126.58
2024-11-20,Webcam HD,North,,8,83.2
10/08/2024,Wireless Mouse,West,371.76,24,34.48
2023-02-11,Webcam HD,West,87.82,2,14.86
2024-03-20,Monitor 27,SOUTH,1333.83,6,308.73
06.05.2023,Wireless Mouse,South,393.19,26,29.34
2024-02-08,Wireless Mouse,East,1462.95,94,109.71
03/08/2024,Laptop Pro,West,8942.52,1,
2024-10-30,Office Chair,West,1165.63,8,325.46
2024-05-20,Monitor 27,East,918.39,4,156.26
2024-09-14,Office Chair,South,1057.04,7,285.79
03.02.2024,Monitor 27,North,1128.31,5,198.43
2024-01-10,Webcam HD,west,612.71,13,129.81
2024-08-11,Office Chair,North,904.95,6,193.0
24.12.2023,Desk Lamp,West,502.17,14,145.29
2024-11-05,Office Chair,South,888.79,6,205.88
2024-11-26,Monitor 27,North,225.42,1,38.66
2024-12-19,Laptop Pro,  South  ,786.21,1,137.6
2024-02-05,Monitor 27,North,1340.24,6,252.57
05/12/2023,Office Chair,West,1363.31,9,355.63
01/03/2024,Webcam HD,West,608.68,14,116.19
2023-04-10,Webcam HD,South,131.02,3,21.67
21.01.2023,Desk Lamp,North,143.77,4,51.56
08/03/2023,Wireless Mouse,  East  ,258.32,17,21.26
07.11.2024,Laptop Pro,South,3459.9,4,790.35
2024-08-31,Office Chair,West,1038.56,7,247.75
12/25/2024,Office Chair,north,1023.96,7,231.96
2024-10-18,Laptop Pro,South,1773.7,2,386.59
